,Type,Brand,Category,Fit,Size_type,Size,Found
0,Tops,Ralph Lauren,Casual Shirts,Slim,Categorical,,
1,Tops,Ralph Lauren,Casual Shirts,Regular,Categorical,,
2,Tops,Ralph Lauren,Polos,Slim,Categorical,,
3,Tops,Ralph Lauren,Polos,Regular,Categorical,,
4,Tops,Ralph Lauren,T-Shirt,Slim,Categorical,,
5,Tops,Ralph Lauren,T-Shirt,Regular,Categorical,,
6,Tops,Ralph Lauren,Vest,Regular,Categorical,,
7,Tops,Ralph Lauren,Formal Shirts,Slim,Numeric,,
8,Tops,Ralph Lauren,Formal Shirts,Regular,Numeric,,
9,Tops,Ralph Lauren,Sweaters,Slim,Categorical,,
10,Tops,Ralph Lauren,Sweaters,Regular,Categorical,,
11,Tops,Ralph Lauren,Knitwear,Regular,Categorical,,
12,Tops,Ralph Lauren,Hoodies,Slim,Categorical,,
13,Tops,Reiss,T-Shirt,Regular,Categorical,,
14,Tops,Reiss,T-Shirt,Slim,Categorical,,
15,Tops,Reiss,T-Shirt,None,Categorical,,
16,Tops,Reiss,Polos,Regular,Categorical,,
17,Tops,Reiss,Polos,Slim,Categorical,,
18,Tops,Reiss,Sweaters,Slim,Categorical,,
19,Tops,Reiss,Sweaters,Regular,Categorical,,
20,Tops,Reiss,Casual Shirts,Slim,Categorical,,
21,Tops,Reiss,Casual Shirts,Regular,Categorical,,
22,Tops,Reiss,Casual Outerwear,Slim,Categorical,,
23,Tops,Reiss,Blazer,Slim,Numeric,,
24,Tops,Reiss,Blazer,Regular,Numeric,,
25,Tops,Reiss,Blazer,None,Numeric,,
26,Tops,Reiss,Knitwear,Slim,Categorical,,
27,Tops,Reiss,Knitwear,None,Categorical,,
28,Tops,Reiss,Knitwear,Regular,Categorical,,
29,Tops,Reiss,Formal Shirts,Slim,Categorical,,
30,Tops,Reiss,Formal Shirts,Regular,Categorical,,
31,Tops,Reiss,Vest,None,Numeric,,
32,Tops,Reiss,Vest,Slim,Numeric,,
33,Tops,Reiss,Coats,Regular,Categorical,,
34,Tops,Money,T-Shirt,None,Categorical,,
35,Tops,Money,Hoodies,None,Categorical,,
36,Tops,Money,Polos,Regular,Categorical,,
37,Tops,Scott Blue,Polos,Slim,Categorical,,
38,Tops,Scott Blue,T-Shirt,Slim,Categorical,,
39,Tops,Scott Blue,Casual Shirts,Slim,Categorical,,
40,Tops,West LA,T-Shirt,Slim,Categorical,,
41,Tops,West LA,T-Shirt,Regular,Categorical,,
42,Tops,West LA,Casual Shirts,Slim,Categorical,,
43,Tops,Scotch & Soda,T-Shirt,Slim,Categorical,,
44,Tops,Scotch & Soda,T-Shirt,Regular,Categorical,,
45,Tops,Scotch & Soda,T-Shirt,Straight,Categorical,,
46,Tops,Scotch & Soda,T-Shirt,None,Categorical,,
47,Tops,Scotch & Soda,Polos,None,Categorical,,
48,Tops,Scotch & Soda,Polos,Regular,Categorical,,
49,Tops,Scotch & Soda,Casual Outerwear,None,Categorical,,
50,Tops,Scotch & Soda,Casual Outerwear,Regular,Categorical,,
51,Tops,Scotch & Soda,Casual Outerwear,Slim,Categorical,,
52,Tops,Scotch & Soda,Vest,Slim,Categorical,,
53,Tops,Scotch & Soda,Casual Shirts,Slim,Categorical,,
54,Tops,Scotch & Soda,Casual Shirts,Regular,Categorical,,
55,Tops,Scotch & Soda,Casual Shirts,Comfort,Categorical,,
56,Tops,Scotch & Soda,Knitwear,Regular,Categorical,,
57,Tops,Scotch & Soda,Knitwear,Slim,Categorical,,
58,Tops,Scotch & Soda,Sweaters,Slim,Categorical,,
59,Tops,Scotch & Soda,Sweaters,Regular,Categorical,,
60,Tops,Scotch & Soda,Blazer,Slim,Categorical,,
61,Tops,Scotch & Soda,Blazer,Regular,Categorical,,
62,Tops,Scotch & Soda,Formal Shirts,Slim,Categorical,,
63,Tops,Scotch & Soda,Formal Shirts,Regular,Categorical,,
64,Tops,Scotch & Soda,Hoodies,Slim,Categorical,,
65,Tops,Scotch & Soda,Hoodies,Regular,Categorical,,
66,Tops,Scotch & Soda,Sweatshirts,None,Categorical,,
67,Tops,Scotch & Soda,Sweatshirts,Regular,Categorical,,
68,Tops,Sobe,Casual Shirts,Slim,Categorical,,
69,Tops,Sobe,Polos,Slim,Categorical,,
70,Tops,Calvin Klein,T-Shirt,None,Categorical,,
71,Tops,Calvin Klein,T-Shirt,Regular,Categorical,,
72,Tops,Calvin Klein,T-Shirt,Slim,Categorical,,
73,Tops,Calvin Klein,Polos,Comfort,Categorical,,
74,Tops,Calvin Klein,Polos,None,Categorical,,
75,Tops,Calvin Klein,Casual Shirts,Regular,Categorical,,
76,Tops,Calvin Klein,Casual Shirts,Slim,Categorical,,
77,Tops,Calvin Klein,Hoodies,None,Categorical,,
78,Tops,Moss Bros,Formal Shirts,Slim,Numeric,,
79,Tops,Moss Bros,Formal Shirts,Regular,Numeric,,
80,Tops,Moss Bros,Blazer,Slim,Numeric,,
81,Tops,Moss Bros,Casual Shirts,Slim,Categorical,,
82,Tops,Cavanni,Casual Shirts,Slim,Numeric,,
83,Tops,Cavanni,Blazer,Slim,Numeric,,
84,Tops,Cavanni,Blazer,Regular,Numeric,,
85,Tops,Cavanni,Formal Shirts,Slim,Numeric,,
86,Tops,Cavanni,Formal Shirts,Regular,Categorical,,
87,Tops,Cavanni,Formal Shirts,None,Categorical,,
88,Tops,Skiny,T-Shirt,None,Categorical,,
89,Tops,Skiny,T-Shirt,Regular,Categorical,,
90,Tops,Skiny,T-Shirt,Slim,Categorical,,
91,Tops,Claudio Sartore,Blazer,Slim,Numeric,,
92,Tops,Claudio Sartore,Blazer,None,Numeric,,
93,Tops,Claudio Sartore,Blazer,Regular,Numeric,,
94,Tops,Claudio Sartore,Formal Shirts,None,Numeric,,
95,Tops,Claudio Sartore,Formal Shirts,Slim,Categorical,,
96,Tops,Claudio Sartore,T-Shirt,None,Categorical,,
97,Tops,Claudio Sartore,Polos,None,Categorical,,
98,Tops,Claudio Sartore,Polos,Regular,Categorical,,
99,Tops,Claudio Sartore,Casual Outerwear,None,Numeric,,
100,Tops,Fred Perry,T-Shirt,Slim,Categorical,,
101,Tops,Fred Perry,T-Shirt,Regular,Categorical,,
102,Tops,Fred Perry,Casual Shirts,Slim,Categorical,,
103,Tops,Fred Perry,Casual Shirts,Regular,Categorical,,
104,Tops,Fred Perry,Polos,Regular,Categorical,,
105,Tops,Fred Perry,Polos,Slim,Categorical,,
106,Tops,Fred Perry,Casual Outerwear,Slim,Categorical,,
107,Tops,Fred Perry,Sweaters,Slim,Categorical,,
108,Tops,AMI,Casual Shirts,Regular,Numeric,,
109,Tops,AMI,Casual Shirts,Slim,Numeric,,
110,Tops,AMI,Polos,Regular,Categorical,,
111,Tops,AMI,Sweatshirts,Regular,Categorical,,
112,Tops,AMI,T-Shirt,Regular,Categorical,,
113,Tops,AMI,Hoodies,Slim,Categorical,,
114,Tops,Sacoor,Sweaters,Slim,Categorical,,
115,Tops,Sacoor,Sweaters,Regular,Categorical,,
116,Tops,Sacoor,Casual Outerwear,Slim,Categorical,,
117,Tops,Sacoor,Casual Outerwear,Regular,Categorical,,
118,Tops,Sacoor,Formal Shirts,Slim,Numeric,,
119,Tops,Sacoor,Formal Shirts,Regular,Numeric,,
120,Tops,Sacoor,Casual Shirts,Slim,Categorical,,
121,Tops,Sacoor,Casual Shirts,Regular,Numeric,,
122,Tops,Sacoor,Casual Shirts,None,Categorical,,
123,Tops,Sacoor,Blazer,Slim,Numeric,,
124,Tops,BLUE MINT,T-Shirt,Slim,Categorical,,
125,Tops,BLUE MINT,T-Shirt,Regular,Categorical,,
126,Tops,BLUE MINT,Polos,Regular,Categorical,,
127,Tops,Alternative Apparel,Hoodies,Slim,Categorical,,
128,Tops,Alternative Apparel,T-Shirt,Slim,Categorical,,
129,Tops,Alternative Apparel,T-Shirt,Regular,Categorical,,
130,Tops,Rhordan,T-Shirt,Slim,Categorical,,
131,Tops,Dedicated,T-Shirt,None,Categorical,,
132,Tops,Dedicated,T-Shirt,Regular,Categorical,,
133,Tops,Dedicated,Hoodies,Slim,Categorical,,
134,Tops,Dedicated,Casual Outerwear,Slim,Categorical,,
135,Tops,Dedicated,Casual Shirts,Regular,Categorical,,
136,Tops,Dedicated,Casual Shirts,None,0,,
137,Tops,Dedicated,Sweatshirts,Slim,Categorical,,
138,Tops,Sharq & Gharb,T-Shirt,Slim,Categorical,,
139,Tops,Mr. Draper,Casual Shirts,Slim,Numeric,,
140,Tops,Mr. Draper,Formal Shirts,Slim,Numeric,,
141,Tops,Campione,Casual Shirts,None,Categorical,,
142,Tops,Campione,Casual Shirts,Regular,Categorical,,
143,Tops,Campione,Casual Shirts,Slim,Categorical,,
144,Tops,Campione,Polos,None,Categorical,,
145,Tops,Campione,T-Shirt,Regular,Categorical,,
146,Tops,Tommy Hilfiger,T-Shirt,Regular,Categorical,,
147,Tops,Tommy Hilfiger,T-Shirt,None,Categorical,,
148,Tops,Tommy Hilfiger,T-Shirt,Slim,Categorical,,
149,Tops,Tommy Hilfiger,T-Shirt,Comfort,Categorical,,
150,Tops,Tommy Hilfiger,Casual Shirts,Slim,Categorical,,
151,Tops,Tommy Hilfiger,Casual Shirts,None,Categorical,,
152,Tops,Tommy Hilfiger,Casual Shirts,Regular,Categorical,,
153,Tops,Tommy Hilfiger,Casual Shirts,Comfort,Categorical,,
154,Tops,Tommy Hilfiger,Polos,Regular,Categorical,,
155,Tops,Tommy Hilfiger,Polos,Slim,Categorical,,
156,Tops,Tommy Hilfiger,Polos,None,Categorical,,
157,Tops,Tommy Hilfiger,Polos,Comfort,Categorical,,
158,Tops,Tommy Hilfiger,Sweatshirts,None,Categorical,,
159,Tops,Tommy Hilfiger,Sweatshirts,Regular,Categorical,,
160,Tops,Tommy Hilfiger,Sweatshirts,Comfort,Categorical,,
161,Tops,Tommy Hilfiger,Formal Shirts,Slim,Numeric,,
162,Tops,Tommy Hilfiger,Formal Shirts,Regular,Numeric,,
163,Tops,Tommy Hilfiger,Blazer,Slim,Numeric,,
164,Tops,Tommy Hilfiger,Sweaters,Comfort,Categorical,,
165,Tops,Tommy Hilfiger,Sweaters,Regular,Categorical,,
166,Tops,Tommy Hilfiger,Casual Outerwear,Slim,Categorical,,
167,Tops,Tommy Hilfiger,Casual Outerwear,Regular,Categorical,,
168,Tops,Strarwish,T-Shirt,Slim,Categorical,,
169,Tops,Kairen,Casual Shirts,Slim,Numeric,,
170,Tops,Lacoste,Polos,Slim,Categorical,,
171,Tops,Lacoste,Polos,Regular,Categorical,,
172,Tops,Lacoste,Formal Shirts,Slim,Numeric,,
173,Tops,Lacoste,T-Shirt,Slim,Numeric,,
174,Tops,Lacoste,T-Shirt,Regular,Numeric,,
175,Tops,Lacoste,Knitwear,Comfort,Numeric,,
176,Tops,Lacoste,Sweatshirts,Slim,Numeric,,
177,Tops,Vilebrequin,T-Shirt,Slim,Categorical,,
178,Tops,Vilebrequin,Polos,Regular,Categorical,,
179,Tops,Vilebrequin,Casual Shirts,Slim,Categorical,,
180,Tops,Intense,Sweatshirts,None,Categorical,,
181,Tops,Emporio Armani,T-Shirt,Straight,Categorical,,
182,Tops,Emporio Armani,T-Shirt,Slim,Categorical,,
183,Tops,Timothy Everest,Knitwear,None,Categorical,,
184,Tops,Guards London,Coats,Tailored,Numeric,,
185,Tops,Guards London,Blazer,Regular,Numeric,,
186,Tops,Guards London,Casual Outerwear,Tailored,Numeric,,
187,Tops,Harris Wharf,Blazer,Tailored,Numeric,,
188,Tops,Drake's,Formal Shirts,Slim,Numeric,,
189,Tops,Hilditch & Key,Formal Shirts,Regular,Numeric,,
190,Tops,Hilditch & Key,Formal Shirts,None,Numeric,,
191,Tops,Emmett,Formal Shirts,Slim,Numeric,,
192,Tops,Emmett,Formal Shirts,Regular,Numeric,,
193,Tops,Emmett,Formal Shirts,None,Numeric,,
194,Tops,Mocha Salt,T-Shirt,Regular,Categorical,,
195,Tops,Emma Willis,Formal Shirts,Slim,Numeric,,
196,Tops,Emma Willis,Formal Shirts,None,Numeric,,
197,Tops,Emma Willis,Casual Shirts,Regular,Numeric,,
198,Tops,Hackett,Polos,Slim,Categorical,,
199,Tops,Hackett,Casual Shirts,Slim,Categorical,,
200,Tops,Hackett,Casual Shirts,Regular,Categorical,,
201,Tops,Hackett,Blazer,Regular,Numeric,,
202,Tops,Hackett,Blazer,Slim,Numeric,,
203,Tops,Hackett,Formal Shirts,Slim,Categorical,,
204,Tops,Hackett,Formal Shirts,Regular,Categorical,,
205,Tops,Dead Legacy,T-Shirt,Regular,Categorical,,
206,Tops,EDEN PARK,T-Shirt,Slim,Categorical,,
207,Tops,EDEN PARK,Casual Shirts,Slim,Categorical,,
208,Tops,EDEN PARK,Polos,Slim,Categorical,,
209,Tops,Diesel,Sweaters,Slim,Categorical,,
210,Tops,Diesel,Sweaters,Regular,Categorical,,
211,Tops,Diesel,Casual Shirts,Slim,Categorical,,
212,Tops,Diesel,Casual Shirts,Regular,Categorical,,
213,Tops,Diesel,T-Shirt,Slim,Categorical,,
214,Tops,Diesel,Casual Outerwear,Slim,Categorical,,
215,Tops,Diesel,Polos,Slim,Categorical,,
216,Tops,Diesel,Knitwear,Slim,Categorical,,
217,Tops,Diesel,Hoodies,Slim,Categorical,,
218,Tops,MONSIEUR FOX,Polos,Slim,Categorical,,
219,Tops,Van Gils,Casual Shirts,Regular,Numeric,,
220,Tops,Van Gils,Casual Shirts,Slim,Numeric,,
221,Tops,Van Gils,Blazer,Slim,Numeric,,
222,Tops,Van Gils,Polos,Slim,Categorical,,
223,Tops,Van Gils,Sweaters,Slim,Categorical,,
224,Tops,Van Gils,Vest,Slim,Categorical,,
225,Tops,Carter & White,T-Shirt,Slim,Categorical,,
226,Tops,Mexx,Sweaters,Slim,Categorical,,
227,Tops,Mexx,Blazer,Slim,Numeric,,
228,Tops,Mexx,Formal Shirts,Slim,Numeric,,
229,Tops,Mexx,T-Shirt,Slim,Categorical,,
230,Tops,Mexx,Casual Shirts,Slim,Categorical,,
231,Tops,AG Jeans,T-Shirt,Slim,Categorical,,
232,Tops,AG Jeans,T-Shirt,Regular,Categorical,,
233,Tops,AG Jeans,Casual Shirts,Slim,Categorical,,
234,Tops,AG Jeans,Polos,Regular,Categorical,,
235,Tops,ATELIER PRIVE,Casual Shirts,Slim,Categorical,,
236,Tops,ATELIER PRIVE,Casual Shirts,Regular,Categorical,,
237,Tops,ATELIER PRIVE,Formal Shirts,Regular,Categorical,,
238,Tops,ATELIER PRIVE,Formal Shirts,Slim,Categorical,,
239,Tops,ATELIER PRIVE,Formal Shirts,Comfort,Categorical,,
240,Tops,ATELIER PRIVE,Sweaters,Slim,Categorical,,
241,Tops,ATELIER PRIVE,Blazer,Slim,Numeric,,
242,Tops,SuitSupply,Blazer,Slim,Numeric,,
243,Tops,SuitSupply,Formal Shirts,Slim,Numeric,,
244,Tops,SuitSupply,Vest,Slim,Numeric,,
245,Tops,SuitSupply,Sweaters,Slim,Categorical,,
246,Tops,SuitSupply,Casual Shirts,Slim,Numeric,,
247,Tops,SuitSupply,Knitwear,Slim,Categorical,,
248,Tops,SuitSupply,Coats,Slim,Categorical,,
249,Tops,Damat,Formal Shirts,Slim,Categorical,,
250,Tops,Damat,Formal Shirts,Comfort,Categorical,,
251,Tops,Damat,Casual Shirts,Slim,Categorical,,
252,Tops,Damat,Casual Shirts,Regular,Categorical,,
253,Tops,Damat,Blazer,Slim,Numeric,,
254,Tops,Cordone,Casual Shirts,Slim,Numeric,,
255,Tops,Cordone,Casual Shirts,Regular,Categorical,,
256,Tops,Cordone,Formal Shirts,Slim,Numeric,,
257,Tops,one 90 One,Casual Shirts,Regular,Categorical,,
258,Tops,one 90 One,Casual Shirts,Comfort,Categorical,,
259,Tops,one 90 One,Casual Shirts,Slim,Categorical,,
260,Tops,one 90 One,T-Shirt,Slim,Categorical,,
261,Tops,one 90 One,T-Shirt,Regular,Categorical,,
262,Tops,one 90 One,Knitwear,Slim,Categorical,,
263,Tops,one 90 One,Sweatshirts,Slim,Categorical,,
264,Tops,Japan Rags,Casual Shirts,Slim,Categorical,,
265,Tops,Japan Rags,Blazer,Slim,Categorical,,
266,Tops,Japan Rags,T-Shirt,Slim,Categorical,,
267,Tops,Japan Rags,T-Shirt,Regular,Categorical,,
268,Tops,Van Heusen,Casual Shirts,Slim,Categorical,,
269,Tops,Van Heusen,Casual Shirts,Comfort,Categorical,,
270,Tops,Van Heusen,Casual Outerwear,Slim,Categorical,,
271,Tops,Van Heusen,Polos,Slim,Categorical,,
272,Tops,LE COQ SPORTIF,T-Shirt,Regular,Categorical,,
273,Tops,Valentino,Polos,Regular,Categorical,,
274,Tops,Gym Clothes Company,T-Shirt,Slim,Categorical,,
275,Bottoms,Ralph Lauren,Chinos,Slim,Numeric,,
276,Bottoms,Ralph Lauren,Chinos,Regular,Numeric,,
277,Bottoms,Ralph Lauren,Shorts,Comfort,Categorical,,
278,Bottoms,Ralph Lauren,Shorts,Regular,Numeric,,
279,Bottoms,Vilebrequin,Swim,Regular,Categorical,,
280,Bottoms,Reiss,Chinos,Slim,Numeric,,
281,Bottoms,Reiss,Formal Trousers,Slim,Numeric,,
282,Bottoms,Reiss,Formal Trousers,None,Numeric,,
283,Bottoms,Reiss,Formal Trousers,Regular,Numeric,,
284,Bottoms,Reiss,Swim,Regular,Categorical,,
285,Bottoms,Reiss,Shorts,Regular,Numeric,,
286,Bottoms,Reiss,Shorts,Slim,Numeric,,
287,Bottoms,Campione,Chinos,None,Numeric,,
288,Bottoms,Campione,Chinos,Slim,Numeric,,
289,Bottoms,Campione,Jeans,None,Numeric,,
290,Bottoms,FREDS,Swim,None,Categorical,,
291,Bottoms,FREDS,Swim,Regular,Categorical,,
292,Bottoms,Hackett,Chinos,Slim,Numeric,,
293,Bottoms,Hackett,Chinos,Regular,Numeric,,
294,Bottoms,Hackett,Shorts,Slim,Numeric,,
295,Bottoms,Hackett,Shorts,Regular,Numeric,,
296,Bottoms,Hackett,Jeans,Slim,Numeric,,
297,Bottoms,Hackett,Casual Trousers,Slim,Numeric,,
298,Bottoms,Claudio Sartore,Formal Trousers,None,Numeric,,
299,Bottoms,Claudio Sartore,Chinos,Slim,Numeric,,
300,Bottoms,Claudio Sartore,Chinos,None,Numeric,,
301,Bottoms,Cavanni,Jeans,Slim,Numeric,,
302,Bottoms,Cavanni,Jeans,Skinny,Numeric,,
303,Bottoms,Money,Sweatpants,Slim,Categorical,,
304,Bottoms,Money,Sweatpants,Regular,Categorical,,
305,Bottoms,AMI,Jeans,Slim,Numeric,,
306,Bottoms,AMI,Chinos,Regular,Categorical,,
307,Bottoms,AMI,Chinos,Slim,Numeric,,
308,Bottoms,AMI,Chinos,Carrot,Numeric,,
309,Bottoms,Scotch & Soda,Chinos,Slim,Numeric,,
310,Bottoms,Scotch & Soda,Chinos,Super skinny,Numeric,,
311,Bottoms,Scotch & Soda,Chinos,Regular,Numeric,,
312,Bottoms,Scotch & Soda,Chinos,Skinny,Numeric,,
313,Bottoms,Scotch & Soda,Shorts,Slim,Numeric,,
314,Bottoms,Scotch & Soda,Shorts,Comfort,Numeric,,
315,Bottoms,Scotch & Soda,Shorts,Regular,Numeric,,
316,Bottoms,Scotch & Soda,Jeans,Slim,Numeric,,
317,Bottoms,Scotch & Soda,Jeans,Regular,Numeric,,
318,Bottoms,Scotch & Soda,Jeans,Skinny,Numeric,,
319,Bottoms,Scotch & Soda,Jeans,None,Numeric,,
320,Bottoms,Scotch & Soda,Formal Trousers,Slim,Numeric,,
321,Bottoms,Scotch & Soda,Swim,Regular,Categorical,,
322,Bottoms,Dedicated,Shorts,None,Numeric,,
323,Bottoms,Dedicated,Chinos,None,Numeric,,
324,Bottoms,Dedicated,Chinos,Regular,Numeric,,
325,Bottoms,Dedicated,Sweatpants,Regular,Categorical,,
326,Bottoms,Kairen,Swim,Slim,Categorical,,
327,Bottoms,Kairen,Swim,None,Categorical,,
328,Bottoms,Tommy Hilfiger,Chinos,Straight,Numeric,,
329,Bottoms,Tommy Hilfiger,Chinos,None,Numeric,,
330,Bottoms,Tommy Hilfiger,Chinos,Regular,Numeric,,
331,Bottoms,Tommy Hilfiger,Chinos,Slim,Numeric,,
332,Bottoms,Tommy Hilfiger,Chinos,Skinny,Numeric,,
333,Bottoms,Tommy Hilfiger,Jeans,Slim,Numeric,,
334,Bottoms,Tommy Hilfiger,Jeans,Straight,Numeric,,
335,Bottoms,Tommy Hilfiger,Jeans,Skinny,Numeric,,
336,Bottoms,Tommy Hilfiger,Jeans,Regular,Numeric,,
337,Bottoms,Tommy Hilfiger,Shorts,Straight,Numeric,,
338,Bottoms,Tommy Hilfiger,Shorts,Comfort,Numeric,,
339,Bottoms,Tommy Hilfiger,Shorts,Regular,Numeric,,
340,Bottoms,Tommy Hilfiger,Shorts,Slim,Numeric,,
341,Bottoms,Tommy Hilfiger,Sweatpants,Slim,Numeric,,
342,Bottoms,Tommy Hilfiger,Casual Trousers,Straight,Numeric,,
343,Bottoms,Tommy Hilfiger,Swim,Regular,Categorical,,
344,Bottoms,Tommy Hilfiger,Formal Trousers,Straight,Numeric,,
345,Bottoms,Strarwish,Swim,Slim,Numeric,,
346,Bottoms,Strarwish,Swim,Regular,Numeric,,
347,Bottoms,Damat,Chinos,Slim,Numeric,,
348,Bottoms,Damat,Formal Trousers,Slim,Numeric,,
349,Bottoms,Damat,Swim,Slim,Categorical,,
350,Bottoms,Damat,Swim,Regular,Categorical,,
351,Bottoms,Ayah,Swim,Slim,Categorical,,
352,Bottoms,Intense,Sweatpants,None,Categorical,,
353,Bottoms,Mocha Salt,Shorts,Regular,Numeric,,
354,Bottoms,Mocha Salt,Swim,Regular,Numeric,,
355,Bottoms,West LA,Shorts,Slim,Numeric,,
356,Bottoms,West LA,Chinos,Slim,Numeric,,
357,Bottoms,West LA,Swim,Slim,Numeric,,
358,Bottoms,West LA,Jeans,Slim,Numeric,,
359,Bottoms,Fred Perry,Chinos,Slim,Numeric,,
360,Bottoms,Van Gils,Formal Trousers,Slim,Numeric,,
361,Bottoms,Van Gils,Jeans,Slim,Numeric,,
362,Bottoms,Diesel,Jeans,Slim,Numeric,,
363,Bottoms,Diesel,Jeans,Regular,Numeric,,
364,Bottoms,Diesel,Jeans,Carrot,Numeric,,
365,Bottoms,Diesel,Jeans,Skinny,Numeric,,
366,Bottoms,Diesel,Jeans,Super skinny,Numeric,,
367,Bottoms,Diesel,Jeans,Straight,Numeric,,
368,Bottoms,Diesel,Chinos,Slim,Numeric,,
369,Bottoms,Diesel,Pants,Slim,Numeric,,
370,Bottoms,Diesel,Swim,Regular,Categorical,,
371,Bottoms,EDEN PARK,Casual Trousers,Regular,Categorical,,
372,Bottoms,EDEN PARK,Chinos,Slim,Numeric,,
373,Bottoms,Sacoor,Chinos,Slim,Numeric,,
374,Bottoms,Lacoste,Shorts,Regular,Numeric,,
375,Bottoms,Lacoste,Jeans,Slim,Numeric,,
376,Bottoms,Lacoste,Swim,Regular,Categorical,,
377,Bottoms,Lacoste,Chinos,Slim,Numeric,,
378,Bottoms,Lacoste,Chinos,Regular,Numeric,,
379,Bottoms,Japan Rags,Jeans,Slim,Numeric,,
380,Bottoms,Japan Rags,Jeans,Regular,Numeric,,
381,Bottoms,Scott Blue,Shorts,Regular,Categorical,,
382,Bottoms,Scott Blue,Chinos,Slim,Numeric,,
383,Bottoms,Scott Blue,Jeans,Slim,Numeric,,
384,Bottoms,Scott Blue,Jeans,Skinny,Numeric,,
385,Bottoms,Scott Blue,Jeans,Regular,Numeric,,
386,Bottoms,LE COQ SPORTIF,Sweatpants,Slim,Categorical,,
387,Bottoms,one 90 One,Chinos,Regular,Numeric,,
388,Bottoms,BLUE MINT,Swim,Regular,Categorical,,
389,Bottoms,BLUE MINT,Swim,Slim,Categorical,,
390,Bottoms,BLUE MINT,Shorts,Slim,Numeric,,
391,Bottoms,AG Jeans,Jeans,Slim,Numeric,,
392,Bottoms,AG Jeans,Chinos,Slim,Numeric,,
393,Bottoms,Alternative Apparel,Sweatpants,Carrot,Categorical,,
394,Bottoms,Alternative Apparel,Sweatpants,Slim,Categorical,,
395,Bottoms,Alternative Apparel,Chinos,Slim,Numeric,,
396,Bottoms,Mexx,Casual Trousers,Slim,Numeric,,
397,Bottoms,Mexx,Jeans,Slim,Numeric,,
398,Bottoms,Mexx,Jeans,Regular,Numeric,,
399,Bottoms,ATELIER PRIVE,Chinos,Slim,Numeric,,
400,Bottoms,SuitSupply,Formal Trousers,Slim,Numeric,,
401,Bottoms,SuitSupply,Casual Trousers,Slim,Numeric,,
402,Bottoms,Calvin Klein,Shorts,Slim,Numeric,,
403,Bottoms,Calvin Klein,Jeans,Slim,Numeric,,
404,Bottoms,Gym Clothes Company,Shorts,Slim,Categorical,,
